review_number,categoria,move_block
2914,,no_clone,
2915,,no_clone,
2924,,no_clone,
2932,,no_clone,
2938,,no_clone,
2944,,no_clone,
2949,,no_clone,
2958,,no_clone,
2960,,no_clone,
2971,,no_clone,
2986,,no_clone,
2991,,no_clone,
3000,,no_clone,
3004,,no_clone,
3011,,no_clone,
3033,,no_clone,
3039,,no_clone,
3043,,no_clone,
3053,,no_clone,
3101,,no_clone,
3108,,no_clone,
3137,,no_clone,
3153,,no_clone,
3154,,no_clone,
3159,,no_clone,
3161,,no_clone,
3162,ResetOperation_1,review with at least one clone,mesmo arquivo
3163,CloneDestinationPage_0,review with at least one clone,mesmo arquivo
3164,,no_clone,
3181,,no_clone,
3188,BranchOperationUI_0,review with at least one clone,mesmo arquivo
3189,,no_clone,
3203,,no_clone,
3211,,no_clone,
3213,GitProjectsImportPage_26,review with at least one clone,mesmo arquivo
3217,,no_clone,
3231,,no_clone,
3232,,no_clone,
3236,,no_clone,
3238,,no_clone,
3263,,no_clone,
3264,,no_clone,
3266,,no_clone,
3281,,no_clone,
3283,,no_clone,
3296,,no_clone,
3298,GitPreferenceRoot_0,review with at least one clone,arquivo diferente
3305,,no_clone,
3307,,no_clone,
3308,,no_clone,
3309,,no_clone,
3311,,no_clone,
3318,,no_clone,
3330,,no_clone,
3331,,no_clone,
3332,,no_clone,
3334,,no_clone,
3339,,no_clone,
3352,CommitDialog_0,review with at least one clone,arquivo diferente
3353,,no_clone,
3363,,no_clone,
3401,,no_clone,
3402,,no_clone,
3416,,no_clone,
3420,,no_clone,
3438,,no_clone,
3444,,no_clone,
3446,,no_clone,
3454,,no_clone,
3460,,no_clone,
3462,,no_clone,
3463,,no_clone,
3470,,no_clone,
3488,,no_clone,
3490,,no_clone,
3491,,no_clone,
3492,,no_clone,
3494,,no_clone,
3496,,no_clone,
3497,,no_clone,
3498,,no_clone,
3501,CompareWithHeadActionHandler_0,review with at least one clone,arquivo diferente
3511,,no_clone,
3515,,no_clone,
3516,,no_clone,
3520,,no_clone,
3530,,no_clone,
3536,,no_clone,
3537,,no_clone,
3538,,no_clone,
3539,,no_clone,
3541,,no_clone,
3542,,no_clone,
3544,,no_clone,
3545,,no_clone,
3546,,no_clone,
3547,,no_clone,
3548,,no_clone,
3552,ExistingOrNewPage_0,review with at least one clone,mesmo arquivo
3552,SharingWizard_5,review with at least one clone,mesmo arquivo
3552,ExistingOrNewPage_2,review with at least one clone,mesmo arquivo
3552,ExistingOrNewPage_4,review with at least one clone,mesmo arquivo
3555,,no_clone,
3566,,no_clone,
3570,,no_clone,
3574,,no_clone,
3579,CleanActionHandler_2,review with at least one clone,arquivo diferente
3580,,no_clone,
3582,,no_clone,
3595,,no_clone,
3598,,no_clone,
3604,CommitOperation_0,review with at least one clone,mesmo arquivo
3604,StagingView_12,review with at least one clone,arquivo diferente
3604,StagingView_10,review with at least one clone,mesmo arquivo
3605,,no_clone,
3610,,no_clone,
3614,,no_clone,
3616,,no_clone,
3617,,no_clone,
3620,,no_clone,
3621,,no_clone,
3625,,no_clone,
3628,CommitOperation_0,review with at least one clone,mesmo arquivo
3630,,no_clone,
3635,,no_clone,
3650,,no_clone,
3654,,no_clone,
3655,StagingView_12,review with at least one clone,mesmo arquivo
3657,,no_clone,
3658,,no_clone,
3659,RepositorySearchDialog_0,review with at least one clone,arquivo diferente
3664,,no_clone,
3668,,no_clone,
3677,,no_clone,
3686,,no_clone,
3687,,no_clone,
3690,,no_clone,
3695,,no_clone,
3697,,no_clone,
3699,,no_clone,
3700,,no_clone,
3709,,no_clone,
3710,StagingView_7,review with at least one clone,arquivo diferente
3724,,no_clone,
3725,,no_clone,
3726,,no_clone,
3736,,no_clone,
3737,,no_clone,
3781,,no_clone,
3783,,no_clone,
3784,ReflogView_0,review with at least one clone,arquivo diferente
3785,,no_clone,
3807,CloneDestinationPage_0,review with at least one clone,mesmo arquivo
3810,,no_clone,
3822,GitModelBlob_0,review with at least one clone,mesmo arquivo
3825,,no_clone,
3826,,no_clone,
3827,,no_clone,
3828,,no_clone,
3829,,no_clone,
3831,,no_clone,
3833,,no_clone,
3835,,no_clone,
3849,,no_clone,
3850,,no_clone,
3859,,no_clone,
3861,,no_clone,
3862,,no_clone,
3863,,no_clone,
3864,,no_clone,
3878,,no_clone,
3885,,no_clone,
3888,,no_clone,
3889,,no_clone,
3896,,no_clone,
3898,,no_clone,
3899,,no_clone,
3906,,no_clone,
3918,CommitGraphTable_2,review with at least one clone,mesmo arquivo
3922,,no_clone,
3939,,no_clone,
3941,,no_clone,
3944,,no_clone,
3954,,no_clone,
3955,,no_clone,
3963,,no_clone,
3980,,no_clone,
3983,,no_clone,
4000,,no_clone,
4001,,no_clone,
4002,,no_clone,
4012,,no_clone,
4029,,no_clone,
4041,,no_clone,
4044,,no_clone,
4045,,no_clone,
4046,,no_clone,
4048,,no_clone,
4049,,no_clone,
4051,,no_clone,
4068,,no_clone,
4079,,no_clone,
4100,,no_clone,
4104,,no_clone,
4109,,no_clone,
4110,,no_clone,
4134,,no_clone,
4155,CheckoutDialog_4,review with at least one clone,arquivo diferente
4163,,no_clone,
4167,,no_clone,
4172,,no_clone,
4188,,no_clone,
4190,,no_clone,
4203,,no_clone,
