review_number,block,categoria,tipo,duracao,distancia,move_block
70848,CustomizationTab_2,recorrente,ini/mei/final,1.0,0,mesmo arquivo
70954,EclipseProjectConfigurator_0,individual,unique/ini,0.16666666666666666,0,mesmo arquivo
71106,StackRenderer_0,recorrente,ini/mei,0.6666666666666666,0,arquivo diferente
71106,StackRenderer_0_rev_2,individual,unique/final,0.3333333333333333,1.0,arquivo diferente
71865,NestedProjectsContentProvider_3,individual,unique/mei,0.09090909090909091,0.45454545454545453,mesmo arquivo
71865,NestedProjectManager_2,recorrente,mei/final,0.45454545454545453,0.6363636363636364,mesmo arquivo
71865,NestedProjectManager_3,recorrente,mei/final,0.45454545454545453,0.6363636363636364,mesmo arquivo
71865,NestedProjectManager_4,recorrente,mei,0.2727272727272727,0.6363636363636364,mesmo arquivo
71865,NestedProjectManager_5,recorrente,mei,0.2727272727272727,0.6363636363636364,mesmo arquivo
71865,NestedProjectManager_4_rev_9,recorrente,mei/final,0.18181818181818182,0.9090909090909091,mesmo arquivo
71865,NestedProjectManager_5_rev_9,recorrente,mei/final,0.18181818181818182,0.9090909090909091,mesmo arquivo
71886,WizardProjectsImportPage_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
74229,PartServiceImpl_1,recorrente,ini/mei/final,1.0,0,mesmo arquivo
74229,PartServiceImpl_3,recorrente,ini/mei/final,1.0,0,mesmo arquivo
75658,AboutDialog_1,recorrente,mei/final,0.8888888888888888,0.2222222222222222,mesmo arquivo
77515,ExtendedMarkersView_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
77515,ExtendedMarkersView_1,recorrente,ini/mei/final,1.0,0,mesmo arquivo
77515,ExtendedMarkersView_2,recorrente,ini/mei/final,1.0,0,mesmo arquivo
77558,DetailedProgressViewer_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
77720,ImportOperation_0,individual,unique/mei,0.25,0.75,mesmo arquivo
77720,ImportOperation_0_rev_3,individual,unique/final,0.25,1.0,mesmo arquivo
77949,NewKeysPreferencePage_0,recorrente,ini/mei/final,1.0,0,mesmo arquivo
77949,NewKeysPreferencePage_1,recorrente,ini/mei/final,1.0,0,mesmo arquivo
77949,NewKeysPreferencePage_2,recorrente,ini/mei/final,1.0,0,mesmo arquivo
78019,ModelServiceImpl_0,recorrente,ini/mei/final,1.0,0,arquivo diferente
78429,ServiceLocator_0,recorrente,mei,0.5555555555555556,0.2222222222222222,mesmo arquivo
78429,ServiceLocator_2,recorrente,mei/final,0.3333333333333333,0.7777777777777778,mesmo arquivo
78614,ProjectLocationSelectionDialog_0,individual,unique/ini,0.3333333333333333,0,arquivo diferente
78614,ProjectLocationSelectionDialog_0_rev_1,recorrente,mei/final,0.6666666666666666,0.6666666666666666,arquivo diferente
78705,ProjectLocationSelectionDialog_0,recorrente,ini/mei/final,1.0,0,arquivo diferente
79532,ModelAssembler_2,recorrente,ini/mei/final,1.0,0,mesmo arquivo
79532,ModelAssembler_3,recorrente,ini/mei/final,1.0,0,mesmo arquivo
79602,ProgressManager_2,individual,unique/ini,0.25,0,mesmo arquivo
